input_text,target_text,style,original
convert to professional: Do you want to collaborate on the upcoming conference presentation about our recent project successes?,Would you be interested in co-developing the upcoming conference presentation regarding our recent project achievements?,professional,Do you want to collaborate on the upcoming conference presentation about our recent project successes?
convert to polite: He’s repairing his old bicycle.,He’s currently working on repairing his old bicycle.,polite,He’s repairing his old bicycle.
convert to casual: The app keeps crashing when I try to upload photos.,The app keeps crashing whenever I try to upload photos—so annoying.,casual,The app keeps crashing when I try to upload photos.
convert to emojify: Can you recommend a good book to read?,Can you recommend a good book to read? 📖💡,emojify,Can you recommend a good book to read?
convert to social: Everyone brought homemade food to the potluck.,Everyone brought homemade food to the potluck. 🍲🥰 #FoodieFun #Togetherness,social,Everyone brought homemade food to the potluck.
convert to casual: I’m watching the rain from my window.,Just sitting here watching the rain fall.,casual,I’m watching the rain from my window.
convert to emojify: He took pictures of sunsets like they were going extinct.,He took pictures of sunsets like they were going extinct. 🌅🙂,emojify,He took pictures of sunsets like they were going extinct.
convert to emojify: They let the campfire speak when words ran out.,They let the campfire speak when words ran out. 🔥🙂,emojify,They let the campfire speak when words ran out.
convert to professional: I'll need your decision by next Monday.,Your decision is required by next Monday.,professional,I'll need your decision by next Monday.
convert to casual: He’s cleaning his sneakers after the hike.,He’s cleaning up his muddy sneakers.,casual,He’s cleaning his sneakers after the hike.
convert to social: That song is overrated,That song is overrated 🎵😒 #Music #Overrated,social,That song is overrated
convert to casual: I’m feeling sleepy after lunch.,Feeling super sleepy after lunch!,casual,I’m feeling sleepy after lunch.
convert to casual: Can you recommend a good book to read?,Got any good book recommendations?,casual,Can you recommend a good book to read?
convert to emojify: We're going to be late,We're going to be late ⌛🚗,emojify,We're going to be late
convert to professional: I just finished reading a great book.,I’ve recently completed an excellent book.,professional,I just finished reading a great book.
convert to social: The new intern is doing a great job.,The new intern is doing a great job. 👍 #NewHire #GoodWork,social,The new intern is doing a great job.
convert to social: They clapped when the movie ended like it could hear them.,They clapped when the movie ended like it could hear them. 🎬👏 #MovieNight #Wholesome,social,They clapped when the movie ended like it could hear them.
convert to professional: He forgot to take out the trash again.,He neglected to dispose of the trash once more.,professional,He forgot to take out the trash again.
convert to social: Are you free for a call this afternoon?,Are you free for a call this afternoon? 📞🌞 #AfternoonCall #Letstalk,social,Are you free for a call this afternoon?
convert to casual: She’s packing lunch for her kids before school.,Packing lunch for the kids before they head out.,casual,She’s packing lunch for her kids before school.
convert to social: Can you help me book a taxi for the airport?,Can you help me book a taxi for the airport? 🚕✈️ #Travel #AirportRide,social,Can you help me book a taxi for the airport?
convert to professional: We should create a shared document where everyone can add their ideas for the upcoming team building event,I recommend establishing a collaborative document for team building initiative ideation.,professional,We should create a shared document where everyone can add their ideas for the upcoming team building event
convert to emojify: The software subscription for our project management tool is up for renewal next month and the price has increased by 40%,The software subscription for our project management tool is up for renewal next month and the price has increased by 40% 🖥️📅➡️,emojify,The software subscription for our project management tool is up for renewal next month and the price has increased by 40%
convert to social: The photo album smelled faintly of time and dust.,The photo album smelled faintly of time and dust. 📚💫 #Nostalgia #OldDays,social,The photo album smelled faintly of time and dust.
convert to professional: We're going to need everyone to complete the cybersecurity training module by the end of the month to maintain our compliance certification,All personnel must complete the cybersecurity education component by month-end to preserve organizational compliance accreditation.,professional,We're going to need everyone to complete the cybersecurity training module by the end of the month to maintain our compliance certification
convert to emojify: He finally passed his driving test.,He finally passed his driving test. 🚘😄,emojify,He finally passed his driving test.
convert to professional: The coffee machine is broken again.,The coffee machine is malfunctioning once more.,professional,The coffee machine is broken again.
convert to emojify: They shared sweets before words on every festival.,They shared sweets before words on every festival. 🍭🙂,emojify,They shared sweets before words on every festival.
convert to emojify: Please remind me to buy milk tomorrow.,Please remind me to buy milk tomorrow. 🛍️🥛,emojify,Please remind me to buy milk tomorrow.
"convert to professional: I need to charge my laptop, it's about to die.","I must connect my laptop to a power source, as the battery is critically low.",professional,"I need to charge my laptop, it's about to die."
convert to social: We need more coffee in the breakroom,We need more coffee in the breakroom ☕🏃‍♂️ #CoffeeEmergency #OfficeLife,social,We need more coffee in the breakroom
convert to casual: We watched the boats drift slowly through the Venice canals.,Watched boats drift through the canals—it’s straight out of a movie.,casual,We watched the boats drift slowly through the Venice canals.
convert to emojify: We should create a standardized onboarding process for new contractors to ensure consistency and compliance,We should create a standardized onboarding process for new contractors to ensure consistency and compliance 🏢✅📝,emojify,We should create a standardized onboarding process for new contractors to ensure consistency and compliance
convert to emojify: Let’s celebrate your success!,Let’s celebrate your success! 🎊,emojify,Let’s celebrate your success!
convert to polite: Congratulations on the new baby!,I am so thrilled for you! Warmest congratulations on your new baby.,polite,Congratulations on the new baby!
convert to casual: We climbed hundreds of steps to reach the ancient fortress.,Climbed what felt like a million steps to get to the fortress.,casual,We climbed hundreds of steps to reach the ancient fortress.
convert to social: I need that report by tomorrow,I need that report by tomorrow 📊⏰ #Deadline #WorkUpdate,social,I need that report by tomorrow
convert to polite: She kept the ticket stub from their first movie together.,She lovingly kept the ticket stub from the first movie they enjoyed together.,polite,She kept the ticket stub from their first movie together.
convert to emojify: He googled how to relax instead of just relaxing.,He googled how to relax instead of just relaxing. 🧘🙂,emojify,He googled how to relax instead of just relaxing.
convert to polite: He treated every traffic light like a philosophical lesson.,He used even traffic lights as opportunities to reflect on timing and calm.,polite,He treated every traffic light like a philosophical lesson.
convert to professional: Please check your email for the latest updates.,Kindly review your email for the most recent updates.,professional,Please check your email for the latest updates.
convert to emojify: I am so grateful for your help.,I am so grateful for your help. 🤗,emojify,I am so grateful for your help.
convert to polite: I'm so proud of my kid's graduation.,I must share that I am feeling incredibly proud of my child's graduation.,polite,I'm so proud of my kid's graduation.
convert to casual: Can we please wrap this meeting up soon?,Can we finish this meeting already?,casual,Can we please wrap this meeting up soon?
convert to professional: Your password is too weak,Your password does not meet security requirements.,professional,Your password is too weak
convert to professional: This is a clear case of mismanagement.,This situation is an unambiguous example of mismanagement.,professional,This is a clear case of mismanagement.
"convert to social: I'm trying to find a good plumber, any recommendations?","I'm trying to find a good plumber, any recommendations? 🔧 #Plumber #Recommendations",social,"I'm trying to find a good plumber, any recommendations?"
convert to casual: I need to find a new apartment soon.,"Gotta find a new apartment, like, ASAP.",casual,I need to find a new apartment soon.
convert to professional: He’s repainting his bedroom this weekend.,He’s redecorating and repainting his bedroom this weekend.,professional,He’s repainting his bedroom this weekend.
convert to casual: I forgot to pack my charger.,Forgot my charger again!,casual,I forgot to pack my charger.
convert to emojify: The movie night turned into a pizza party.,The movie night turned into a pizza party. 🍿🙂,emojify,The movie night turned into a pizza party.
convert to polite: This new policy doesn't make any sense.,I am finding it somewhat difficult to understand the reasoning behind this new policy.,polite,This new policy doesn't make any sense.
convert to professional: Please turn off the lights before leaving.,Kindly ensure the lights are turned off prior to departure.,professional,Please turn off the lights before leaving.
convert to social: I think we should reconsider the approach we're taking with the marketing campaign,I think we should reconsider the approach we're taking with the marketing campaign! 🤔🔄🎯 #MarketingStrategy #NewApproach,social,I think we should reconsider the approach we're taking with the marketing campaign
convert to social: Stop sending me these emails,Stop sending me these emails 📧🚫 #Spam #InboxZero,social,Stop sending me these emails
convert to emojify: We’re planning a family picnic this Sunday.,We’re planning a family picnic this Sunday. 🍎😊,emojify,We’re planning a family picnic this Sunday.
convert to casual: We should celebrate the project completion,We should do something to celebrate finishing the project,casual,We should celebrate the project completion
convert to social: They danced like memories were keeping the rhythm.,They danced like memories were keeping the rhythm. 💃🕺 #DanceLife #Emotions,social,They danced like memories were keeping the rhythm.
convert to casual: He realized being kind felt better than being right.,He figured out it feels way better to be kind than to be right.,casual,He realized being kind felt better than being right.
convert to emojify: I need help with this task.,I need help with this task. 🆘❓,emojify,I need help with this task.
convert to social: She’s watering her plants on the balcony.,She’s watering her plants on the balcony. 🌿💧 #GreenThumb #MorningRoutine,social,She’s watering her plants on the balcony.
convert to emojify: He charged his phone all night and forgot to plug it in.,He charged his phone all night and forgot to plug it in. 📱🙂,emojify,He charged his phone all night and forgot to plug it in.
convert to polite: I need to cancel our appointment.,"I am terribly sorry, but I find it necessary to cancel our upcoming appointment.",polite,I need to cancel our appointment.
convert to casual: I just received notification that our business insurance policy requires updating to cover the new remote work arrangements,Our business insurance needs updating to cover the new work from home setup,casual,I just received notification that our business insurance policy requires updating to cover the new remote work arrangements
convert to polite: I'll pick up some snacks for the meeting.,I would be happy to pick up some snacks for the meeting.,polite,I'll pick up some snacks for the meeting.
convert to professional: He found comfort in the sound of pencil scratches on paper.,He appreciated the calming rhythm of pencil strokes on paper.,professional,He found comfort in the sound of pencil scratches on paper.
convert to emojify: Can you help set up the chairs for the event?,Can you help set up the chairs for the event? 🪑,emojify,Can you help set up the chairs for the event?
convert to professional: The restaurant was fully booked last night.,All tables at the restaurant were reserved last night.,professional,The restaurant was fully booked last night.
"convert to polite: She cried not because it ended, but because it was beautiful.","She wept softly, not from sadness that it ended, but from joy that it was beautiful.",polite,"She cried not because it ended, but because it was beautiful."
convert to professional: They let the campfire speak when words ran out.,"They sat in silence, letting the crackle of the campfire continue their conversation.",professional,They let the campfire speak when words ran out.
convert to social: He wore sunglasses indoors for no reason.,He wore sunglasses indoors for no reason. 🕶️😂 #StyleChoice #Random,social,He wore sunglasses indoors for no reason.
"convert to casual: Just to confirm, we're meeting at 10 AM, correct?","Just checking, we're still on for 10?",casual,"Just to confirm, we're meeting at 10 AM, correct?"
convert to polite: Let me know if you’d like to join the study group.,"If you’re interested, please let me know if you’d like to join the study group.",polite,Let me know if you’d like to join the study group.
convert to social: They found friendship in hostels and stories in strangers.,They found friendship in hostels and stories in strangers. 🏕️🤝 #TravelBuddies #NewConnections,social,They found friendship in hostels and stories in strangers.
convert to emojify: Can you help me troubleshoot the network connection in the conference room? The wifi keeps dropping during important meetings,Can you help me troubleshoot the network connection in the conference room? The wifi keeps dropping during important meetings 🏢🌐🔧,emojify,Can you help me troubleshoot the network connection in the conference room? The wifi keeps dropping during important meetings
convert to professional: I’m charging my laptop before the meeting starts.,I’m ensuring my laptop is charged before the meeting begins.,professional,I’m charging my laptop before the meeting starts.
convert to social: Please check the document for any spelling errors.,Please check the document for any spelling errors. 📝 #Proofreading #Editing,social,Please check the document for any spelling errors.
convert to social: The park bench was freshly painted blue.,The park bench was freshly painted blue. 🎨🌳 #CityLife #ParkDay,social,The park bench was freshly painted blue.
convert to polite: I’m updating my laptop software tonight.,I’ll be updating my laptop software later tonight.,polite,I’m updating my laptop software tonight.
convert to social: The dog refused to get out of bed this morning.,The dog refused to get out of bed this morning. 🐶🛏️ #LazyMornings #PetLife,social,The dog refused to get out of bed this morning.
convert to emojify: I’ll email you the receipt by the end of the day.,I’ll email you the receipt by the end of the day. 🧾,emojify,I’ll email you the receipt by the end of the day.
convert to professional: I forgot my grocery list and remembered everything except groceries.,I left my grocery list at home and returned with everything but groceries.,professional,I forgot my grocery list and remembered everything except groceries.
convert to polite: She tried spicy street food and immediately regretted it.,She bravely tried spicy street food but found it a little too hot for her taste.,polite,She tried spicy street food and immediately regretted it.
convert to emojify: She’s studying late for her biology exam.,She’s studying late for her biology exam. 🧫🙂,emojify,She’s studying late for her biology exam.
convert to emojify: The meeting was moved to next Tuesday.,The meeting was moved to next Tuesday. 🗓️🙂,emojify,The meeting was moved to next Tuesday.
convert to social: Please double-check the figures in this report.,Please double-check the figures in this report. 📊 #FactCheck #Report,social,Please double-check the figures in this report.
"convert to emojify: I'm sorry, I don't have any change.","I'm sorry, I don't have any change. 💸",emojify,"I'm sorry, I don't have any change."
convert to social: I need to buy a gift for my friend's birthday.,I need to buy a gift for my friend's birthday. 🎁 #BirthdayGift #Shopping,social,I need to buy a gift for my friend's birthday.
convert to professional: I just received notification that our quality management system certification audit has been scheduled with only two weeks' notice,I have received notification that our quality management system certification audit has been scheduled with merely two weeks' advance notice.,professional,I just received notification that our quality management system certification audit has been scheduled with only two weeks' notice
convert to polite: Please update your password for security reasons.,Would you please update your password for security reasons at your earliest convenience?,polite,Please update your password for security reasons.
convert to emojify: He taught his dog to shake hands.,He taught his dog to shake hands. 🐶🙂,emojify,He taught his dog to shake hands.
convert to social: The project deadline got extended.,The project deadline got extended. 📆🎯 #WorkUpdate #Deadline,social,The project deadline got extended.
convert to polite: Can you help me test the new audio-visual equipment in the training room before the important workshop tomorrow?,Would you mind helping me test the new audio-visual equipment before tomorrow's workshop?,polite,Can you help me test the new audio-visual equipment in the training room before the important workshop tomorrow?
"convert to emojify: I'm running late, sorry!","I'm running late, sorry! ⏰😓",emojify,"I'm running late, sorry!"
convert to casual: The weather is perfect for hiking,The weather's perfect for a hike!,casual,The weather is perfect for hiking
convert to emojify: Could you please clarify your last point?,Could you please clarify your last point? 🤔,emojify,Could you please clarify your last point?
convert to polite: Please keep your phone on silent during the meeting.,I would appreciate it if you could keep your phone on silent during the meeting.,polite,Please keep your phone on silent during the meeting.
convert to casual: I’m editing a video for my travel vlog.,Editing a travel vlog today.,casual,I’m editing a video for my travel vlog.
convert to professional: I'll have to check my schedule and get back to you.,I must consult my calendar and will revert to you with my availability.,professional,I'll have to check my schedule and get back to you.
convert to polite: She lit a lantern to honor her late grandfather.,She lit a lantern in loving memory of her late grandfather.,polite,She lit a lantern to honor her late grandfather.
convert to social: Let's all give a warm welcome to our new team member.,Let's all give a warm welcome to our new team member. 👋 #Welcome #NewHire,social,Let's all give a warm welcome to our new team member.
convert to casual: She stopped waiting for motivation and started building discipline.,She ditched waiting to ‘feel motivated’ and just got to work.,casual,She stopped waiting for motivation and started building discipline.
convert to professional: I'm really proud of our team's progress,I am exceptionally pleased with our team's developmental advancements.,professional,I'm really proud of our team's progress
convert to social: He’s automating repetitive office tasks with Python.,He’s automating repetitive office tasks with Python. 🐍⚙️ #Automation #Efficiency,social,He’s automating repetitive office tasks with Python.
convert to emojify: She played her grandmother’s song to welcome spring.,She played her grandmother’s song to welcome spring. 🌷🙂,emojify,She played her grandmother’s song to welcome spring.
convert to emojify: I lost my keys somewhere in the office.,I lost my keys somewhere in the office. 🔑😬,emojify,I lost my keys somewhere in the office.
convert to emojify: Please send me your updated address.,Please send me your updated address. 📬🙂,emojify,Please send me your updated address.
convert to professional: Mom kept taking pictures of every landmark we saw.,Mom enthusiastically took photos of every landmark we encountered.,professional,Mom kept taking pictures of every landmark we saw.
convert to casual: We need to find a way to cut costs.,We've got to find a way to spend less.,casual,We need to find a way to cut costs.
convert to social: Drive carefully,Drive carefully 🚗⚠️ #SafeDriving #RoadSafety,social,Drive carefully
convert to emojify: Would you be willing to share your expertise on change management during the upcoming leadership development series?,Would you be willing to share your expertise on change management during the upcoming leadership development series? 👥📅🎯,emojify,Would you be willing to share your expertise on change management during the upcoming leadership development series?
convert to social: They took turns being the strong one.,They took turns being the strong one. 💪🤝 #Friendship #SupportSystem,social,They took turns being the strong one.
convert to professional: We should create a shared calendar for tracking everyone's vacation time to avoid scheduling conflicts during busy periods,A collaborative vacation tracking calendar should be established to prevent scheduling conflicts during peak operational periods.,professional,We should create a shared calendar for tracking everyone's vacation time to avoid scheduling conflicts during busy periods
convert to emojify: She used sticky notes like they were therapy sessions.,She used sticky notes like they were therapy sessions. 📋🙂,emojify,She used sticky notes like they were therapy sessions.
convert to professional: The lamp flickered and went out suddenly.,The lamp flickered briefly before turning off unexpectedly.,professional,The lamp flickered and went out suddenly.
convert to casual: She bought matching mugs for the two of us.,She got us cute matching mugs!,casual,She bought matching mugs for the two of us.
convert to polite: She’s hosting a dinner party tomorrow.,She’s kindly hosting a dinner party tomorrow evening.,polite,She’s hosting a dinner party tomorrow.
convert to professional: I'm not a big fan of crowds.,"I have a strong aversion to large, densely populated gatherings.",professional,I'm not a big fan of crowds.
convert to polite: He forgot to take his medicine this morning.,It seems he forgot to take his medicine earlier today.,polite,He forgot to take his medicine this morning.
"convert to emojify: I'm so tired, I'm just going to have a quiet night in.","I'm so tired, I'm just going to have a quiet night in. 🛋️",emojify,"I'm so tired, I'm just going to have a quiet night in."
convert to professional: Let's grab dinner tomorrow at 7.,Would you be available for dinner tomorrow at 7 PM?,professional,Let's grab dinner tomorrow at 7.
convert to emojify: She got her hair cut yesterday.,She got her hair cut yesterday. 💇😊,emojify,She got her hair cut yesterday.
convert to casual: The baby laughed at her own reflection.,The baby cracked up looking at herself in the mirror.,casual,The baby laughed at her own reflection.
convert to polite: He forgot to charge his smartwatch overnight.,It seems he didn’t charge his smartwatch last night.,polite,He forgot to charge his smartwatch overnight.
convert to social: Can you water my plants while I'm gone?,Can you water my plants while I'm gone? 🌿 #PlantSitter #Help,social,Can you water my plants while I'm gone?
convert to emojify: Could you please send me the meeting minutes?,Could you please send me the meeting minutes? 📧,emojify,Could you please send me the meeting minutes?
convert to social: I'm so proud of my team for all their hard work.,I'm so proud of my team for all their hard work. 👏 #Teamwork #Proud,social,I'm so proud of my team for all their hard work.
convert to social: Submit the application before Friday,Submit the application before Friday 📄📅 #Deadline #Application,social,Submit the application before Friday
convert to polite: We need to get this software update tested before release.,It's essential that we get this software update properly tested before the release.,polite,We need to get this software update tested before release.
convert to social: I have a flight to catch early tomorrow morning.,I have a flight to catch early tomorrow morning. ✈️ #Travel #EarlyBird,social,I have a flight to catch early tomorrow morning.
convert to casual: I think we should reconsider our approach to customer feedback collection since the current survey response rate is only 15%,We should probably change how we collect customer feedback since only 15% of people respond,casual,I think we should reconsider our approach to customer feedback collection since the current survey response rate is only 15%
convert to emojify: The elevator was out of order this morning.,The elevator was out of order this morning. 🛗🙂,emojify,The elevator was out of order this morning.
convert to social: I need to leave early today,I need to leave early today 🏃‍♀️🌅 #EarlyExit #Appointment,social,I need to leave early today
convert to emojify: I'm running a bit short on cash this month.,I'm running a bit short on cash this month. 💸😅,emojify,I'm running a bit short on cash this month.
convert to casual: She adopted a puppy from the shelter.,She just got a puppy from the shelter!,casual,She adopted a puppy from the shelter.
"convert to professional: She loved deeply, even when it scared her.",She chose to embrace love wholeheartedly despite her fears.,professional,"She loved deeply, even when it scared her."
convert to casual: They hummed lullabies to the stars before sleeping.,They sang to the stars before falling asleep themselves.,casual,They hummed lullabies to the stars before sleeping.
"convert to professional: I'd like to return this item, it's defective.","I wish to initiate a return for this product, as it is non-functional.",professional,"I'd like to return this item, it's defective."
convert to polite: The office temperature seems to be stuck on extremely cold this morning - I can see my breath at my desk,The office temperature seems quite cold this morning - rather uncomfortably so.,polite,The office temperature seems to be stuck on extremely cold this morning - I can see my breath at my desk
convert to emojify: The moonlight reflected on the quiet lake.,The moonlight reflected on the quiet lake. 🌌🙂,emojify,The moonlight reflected on the quiet lake.
convert to emojify: He kept broken clocks because they were right twice a day.,He kept broken clocks because they were right twice a day. ⏰🙂,emojify,He kept broken clocks because they were right twice a day.
convert to casual: Can you grab some extra pens and notepads from the supply closet? We're completely out in our department,Can you get more pens and notebooks from supplies? We're all out,casual,Can you grab some extra pens and notepads from the supply closet? We're completely out in our department
convert to polite: He trusted the process even when he couldn’t see the progress.,"He patiently believed in the process, even when visible progress was unclear.",polite,He trusted the process even when he couldn’t see the progress.
"convert to emojify: The annual company picnic has been scheduled for the third weekend in August at Riverside Park, so save the date!","The annual company picnic has been scheduled for the third weekend in August at Riverside Park, so save the date! 🏢🌳📅",emojify,"The annual company picnic has been scheduled for the third weekend in August at Riverside Park, so save the date!"
convert to professional: I need to get my car's tires rotated.,It is necessary for me to have my vehicle's tires rotated.,professional,I need to get my car's tires rotated.
convert to social: Fix the bug quickly,Fix the bug quickly 🐛⚡ #Debug #QuickFix,social,Fix the bug quickly
convert to polite: This meeting could have been an email.,I wonder if this discussion might have been just as effective as an email.,polite,This meeting could have been an email.
convert to casual: I'll call you when I'm free.,I'll call you when I have a free moment.,casual,I'll call you when I'm free.
convert to polite: This feedback is not helpful at all.,I'm afraid I don't find this feedback to be particularly helpful.,polite,This feedback is not helpful at all.
convert to casual: Let’s celebrate after we finish the project.,Let’s party after we wrap up the project!,casual,Let’s celebrate after we finish the project.
convert to casual: They wrote wishes on leaves and let the river carry them.,They wrote wishes on leaves and let the water take them away.,casual,They wrote wishes on leaves and let the river carry them.
convert to casual: The restaurant was fully booked last night.,The restaurant was packed last night!,casual,The restaurant was fully booked last night.
convert to professional: I need to go to the hardware store to pick up some paint.,It is necessary for me to visit the hardware store to procure paint.,professional,I need to go to the hardware store to pick up some paint.
convert to casual: She’s allergic to peanuts.,She’s allergic to peanuts.,casual,She’s allergic to peanuts.
convert to polite: The caterer just called to confirm the menu selections for the corporate event next week,The caterer has just called to confirm our menu selections for next week's corporate event.,polite,The caterer just called to confirm the menu selections for the corporate event next week
convert to polite: Let's proceed with Plan B.,I believe it would be wise for us to proceed with Plan B at this juncture.,polite,Let's proceed with Plan B.
convert to social: I’m learning to make sushi at home.,I’m learning to make sushi at home. 🍣👩‍🍳 #Cooking #Foodie,social,I’m learning to make sushi at home.
convert to professional: The lights went out during the movie.,There was a power outage while we were watching the movie.,professional,The lights went out during the movie.
convert to casual: I’m attending a friend’s wedding this weekend.,Going to my friend’s wedding this weekend!,casual,I’m attending a friend’s wedding this weekend.
convert to emojify: They held each other like tomorrow wasn’t promised.,They held each other like tomorrow wasn’t promised. 🌙🙂,emojify,They held each other like tomorrow wasn’t promised.
convert to professional: Turn off the lights before leaving.,Please ensure that all lights are switched off prior to departure.,professional,Turn off the lights before leaving.
convert to professional: The train was almost empty this morning.,The train had very few passengers this morning.,professional,The train was almost empty this morning.
convert to emojify: The bakery is giving out free samples today.,The bakery is giving out free samples today. 🍰🙂,emojify,The bakery is giving out free samples today.
convert to social: Please confirm your attendance at the event.,Please confirm your attendance at the event. 📅👍 #RSVP #Event,social,Please confirm your attendance at the event.
convert to casual: Thanks for the gift,Thanks so much for the gift!,casual,Thanks for the gift
convert to casual: We need to get this software update tested before release.,We gotta test this software update before it goes out.,casual,We need to get this software update tested before release.
convert to social: I’m refilling the printer with new paper.,I’m refilling the printer with new paper. 🖨️📄 #OfficeWork #SmallTasks,social,I’m refilling the printer with new paper.
"convert to polite: He discovered happiness wasn’t something to find, but to grow.","He learned that true happiness blossoms from within, nurtured over time.",polite,"He discovered happiness wasn’t something to find, but to grow."
convert to professional: The cake tastes amazing,The cake is exceptionally flavorful.,professional,The cake tastes amazing
convert to emojify: This is a high-priority issue.,This is a high-priority issue. ⚠️,emojify,This is a high-priority issue.
convert to casual: She realized some endings are just disguised beginnings.,She figured out that some endings are really just new starts in disguise.,casual,She realized some endings are just disguised beginnings.
convert to emojify: We need to set some ground rules.,We need to set some ground rules. 📝,emojify,We need to set some ground rules.
"convert to professional: I'm not in the mood to cook tonight, let's order in.",I do not have the inclination to prepare a meal this evening; I suggest we order takeout.,professional,"I'm not in the mood to cook tonight, let's order in."
convert to polite: Let’s celebrate your success!,I would love to celebrate your wonderful success.,polite,Let’s celebrate your success!
convert to social: I'm feeling a bit under the weather.,I'm feeling a bit under the weather. 🤒🛌 #NotFeelingWell #Rest,social,I'm feeling a bit under the weather.
convert to professional: She’s baking a chocolate cake today.,She is preparing a chocolate cake today.,professional,She’s baking a chocolate cake today.
convert to casual: I’m almost done with my homework.,Almost finished with my homework!,casual,I’m almost done with my homework.
convert to professional: Disable notifications,Please deactivate the notifications.,professional,Disable notifications
convert to emojify: I’m baking bread for the first time.,I’m baking bread for the first time. 🥖🙂,emojify,I’m baking bread for the first time.
convert to emojify: The new update has a lot of bugs.,The new update has a lot of bugs. 🐞😫,emojify,The new update has a lot of bugs.
convert to polite: Don’t forget to lock the door when you leave.,I would appreciate it if you could lock the door when you leave.,polite,Don’t forget to lock the door when you leave.
convert to polite: He kept faith when logic gave up.,He held firmly to his faith even when logic offered no comfort.,polite,He kept faith when logic gave up.
convert to polite: I haven't heard back from them yet.,"As of yet, I have not received a reply from them.",polite,I haven't heard back from them yet.
convert to polite: He still checked her horoscope even after they stopped talking.,He quietly continued reading her horoscope even after they drifted apart.,polite,He still checked her horoscope even after they stopped talking.
convert to professional: They missed their train but caught a great story instead.,"Though they missed the train, the experience became a cherished memory.",professional,They missed their train but caught a great story instead.
convert to casual: She adopted a cat from the shelter.,She got a cat from the shelter!,casual,She adopted a cat from the shelter.
convert to emojify: Let's brainstorm some new marketing ideas,Let's brainstorm some new marketing ideas 🤔📈💭,emojify,Let's brainstorm some new marketing ideas
convert to emojify: She forgot her wallet at the restaurant.,She forgot her wallet at the restaurant. 😬🙂,emojify,She forgot her wallet at the restaurant.
convert to professional: She forgot her headphones at home.,She realized she left her headphones at home.,professional,She forgot her headphones at home.
convert to social: I forgot to bring my charger again.,I forgot to bring my charger again. 🔌😩 #Forgetful #TechLife,social,I forgot to bring my charger again.
convert to emojify: I'm going to take a long walk to clear my head.,I'm going to take a long walk to clear my head. 🧠,emojify,I'm going to take a long walk to clear my head.
convert to polite: Your feedback is terrible,I believe there may be room for improvement in your feedback.,polite,Your feedback is terrible
convert to polite: We need to get this bug fixed before the next release.,It is essential that we get this bug fixed before the next release.,polite,We need to get this bug fixed before the next release.
convert to casual: I spilled juice on the carpet.,"Oops, I spilled juice on the carpet!",casual,I spilled juice on the carpet.
convert to professional: She kept last year’s greeting cards on her window sill.,She displayed old greeting cards as reminders of cherished connections.,professional,She kept last year’s greeting cards on her window sill.
"convert to polite: The supplier increased their prices by 15% without any notice, which is going to seriously impact our project budget","The supplier has increased prices by 15% without notice, which will impact our project budget.",polite,"The supplier increased their prices by 15% without any notice, which is going to seriously impact our project budget"
convert to professional: I’m verifying API endpoints with Postman.,I’m validating all API endpoints using Postman for accuracy and consistency.,professional,I’m verifying API endpoints with Postman.
convert to polite: I'm trying to be more environmentally conscious.,I've been making an effort to be more environmentally conscious lately.,polite,I'm trying to be more environmentally conscious.
convert to casual: I'm almost done with the report.,I’m just about finished with the report.,casual,I'm almost done with the report.
convert to polite: The night market smelled like spices and grilled food.,The air at the night market was rich with the scent of spices and grilled food.,polite,The night market smelled like spices and grilled food.
convert to casual: The kids built a sandcastle at the beach.,The kids made a sandcastle by the shore.,casual,The kids built a sandcastle at the beach.
convert to polite: They cried not because they were weak but because they cared.,"They shed tears out of love and sincerity, not weakness.",polite,They cried not because they were weak but because they cared.
convert to emojify: The elevator is out of service today.,The elevator is out of service today. 🏢😔,emojify,The elevator is out of service today.
convert to emojify: She dyed her hair pink over the weekend.,She dyed her hair pink over the weekend. 💕🙂,emojify,She dyed her hair pink over the weekend.
convert to polite: She’s taking her dog for a walk.,She’s out taking her dog for a walk.,polite,She’s taking her dog for a walk.
convert to professional: That concert was amazing!,The recent musical performance was exceptionally remarkable.,professional,That concert was amazing!
"convert to professional: He watched the city lights and felt small, but content.","As he gazed at the city lights, he felt small yet peacefully content.",professional,"He watched the city lights and felt small, but content."
convert to emojify: I'm really worried about the upcoming deadline.,I'm really worried about the upcoming deadline. 😟,emojify,I'm really worried about the upcoming deadline.
convert to emojify: She forgot to bring her notebook to class.,She forgot to bring her notebook to class. 📒😬,emojify,She forgot to bring her notebook to class.
"convert to polite: The building management is upgrading the security system this weekend, so we'll need to use temporary access codes until Monday","The building management is upgrading security this weekend, so we'll use temporary access codes until Monday.",polite,"The building management is upgrading the security system this weekend, so we'll need to use temporary access codes until Monday"
convert to professional: We need more coffee in the breakroom,Additional coffee supplies are required in the breakroom.,professional,We need more coffee in the breakroom
convert to professional: I’ll email you the receipt by the end of the day.,I will email you the receipt before the end of the day.,professional,I’ll email you the receipt by the end of the day.
convert to emojify: The train was almost empty this morning.,The train was almost empty this morning. 🚉🙂,emojify,The train was almost empty this morning.
convert to social: I’ll email you the receipt by the end of the day.,I’ll email you the receipt by the end of the day. 📧🧾 #Receipt #Email,social,I’ll email you the receipt by the end of the day.
convert to polite: The project deadline got extended.,I’d like to inform you that the project deadline has been extended.,polite,The project deadline got extended.
